shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,7.238952,1.374195,0.161048,0.032778,6.206709,7.44327,5.0,6.846532,5
cube,2000,0.3,6.819343,1.929749,0.180657,0.059287,0.0,0.0,0.0,0.0,5
cube,2000,0.4,6.819343,1.929749,0.180657,0.059287,0.0,0.0,0.0,0.0,5
cube,3000,0.2,5.804792,0.002844,0.195208,0.002844,1.086467,2.429413,0.0,0.0,5
cube,3000,0.3,4.334297,0.577899,0.265703,0.030357,2.410449,1.556113,0.0,0.0,5
cube,3000,0.4,4.11411,0.949228,0.28589,0.056094,3.772992,5.334789,6.666667,14.90712,5
cube,4000,0.2,5.801729,0.000359,0.198271,0.000359,0.912443,1.335568,0.0,0.0,5
cube,4000,0.3,3.70257,0.003097,0.29743,0.003097,3.389808,2.19626,0.0,0.0,5
cube,4000,0.4,3.259065,0.56568,0.340935,0.018416,6.621747,3.49279,6.666667,14.90712,5
cylinder,2000,0.2,6.450109,1.167936,0.149891,0.027801,5.388379,7.389498,6.5,9.287088,5
cylinder,2000,0.3,6.237857,1.383823,0.162143,0.042443,4.815531,10.669322,4.0,8.944272,5
cylinder,2000,0.4,6.237857,1.383823,0.162143,0.042443,0.035291,0.052242,0.0,0.0,5
cylinder,3000,0.2,4.803882,0.004492,0.196118,0.004492,1.016946,1.392592,0.0,0.0,5
cylinder,3000,0.3,4.158485,0.584888,0.241515,0.037201,1.541102,2.119593,0.0,0.0,5
cylinder,3000,0.4,4.1573,0.585979,0.2427,0.038399,0.870094,1.827001,0.0,0.0,5
cylinder,4000,0.2,4.801577,0.001401,0.198423,0.001401,0.720519,1.070327,0.0,0.0,5
cylinder,4000,0.3,3.528481,0.459898,0.271519,0.01525,3.121013,3.068814,0.0,0.0,5
cylinder,4000,0.4,3.52184,0.460898,0.27816,0.015275,6.568018,11.975501,6.666667,14.90712,5
