shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,4.43154,0.926264,0.16846,0.031911,1.394204,1.990296,0.0,0.0,5
cube,2000,0.3,3.997829,1.154166,0.202171,0.062078,0.784657,1.754547,0.0,0.0,5
cube,2000,0.4,3.997829,1.154166,0.202171,0.062078,0.0,0.0,0.0,0.0,5
cube,3000,0.2,3.803449,0.00172,0.196551,0.00172,2.659477,2.475728,0.0,0.0,5
cube,3000,0.3,2.922982,0.489843,0.277018,0.042642,0.784657,1.754547,0.0,0.0,5
cube,3000,0.4,2.281783,0.966494,0.318217,0.074278,11.903925,13.358734,20.0,27.386128,5
cube,4000,0.2,3.805485,0.002535,0.194515,0.002535,0.832342,1.861173,0.0,0.0,5
cube,4000,0.3,2.704729,0.004199,0.295271,0.004199,1.249611,1.182286,0.0,0.0,5
cube,4000,0.4,1.833137,0.484184,0.366863,0.03968,11.446697,11.045641,0.0,0.0,5
cylinder,2000,0.2,3.623209,0.860159,0.176791,0.024608,9.000692,13.739635,11.666667,16.244657,5
cylinder,2000,0.3,3.39022,1.200827,0.20978,0.06075,4.961479,9.267375,10.0,22.36068,5
cylinder,2000,0.4,3.385843,1.204287,0.214157,0.064483,6.842561,10.081115,10.0,22.36068,5
cylinder,3000,0.2,2.802228,0.000793,0.197772,0.000793,1.393308,2.94497,6.666667,14.90712,5
cylinder,3000,0.3,2.317953,0.557777,0.282047,0.011608,9.448498,9.351232,20.0,27.386128,5
cylinder,3000,0.4,2.303924,0.589672,0.296076,0.043493,7.277266,11.307977,10.0,22.36068,5
cylinder,4000,0.2,2.803109,0.00228,0.196891,0.00228,1.05609,2.06059,6.666667,14.90712,5
cylinder,4000,0.3,2.110522,0.556241,0.289478,0.009105,5.955225,4.325579,20.0,27.386128,5
cylinder,4000,0.4,1.663466,0.012384,0.336534,0.012384,13.608771,10.56147,30.0,27.386128,5
