dataset,bin_shape,bin_size,ave_N-U*,Packing cost,ave_U*,ave_U*_imp_by_GRASP(%),ave_U_imp_by_GRASP(%)
Merged1_normal,cube,105,1.600868,1853204.819,0.265799,6.29751,20
Merged2_normal,cube,105,3.181334,3682791.772,0.26311,6.281618,7.777778
Merged3_normal,cube,105,5.321578,6160391.732,0.233978,2.71118,2.037037
Merged4_normal,cube,105,6.768633,7835538.777,0.231367,3.667922,4.78836
Merged5_normal,cube,105,8.254962,9556150.385,0.233927,1.739968,1.334295
St_05_Example3_normal,cube,157,3.308751,12804512.33,0.246804,3.450619,2.222222
chess,cube,56,3.804423,668117.5496,0.217799,9.075676,11.111111
engine,cube,73,9.401581,3657374.836,0.065086,0.040155,0
liu,cube,101,9.100475,9376228.493,0.210636,8.678274,6.530864
shapesnew,cube,16,10.494649,42986.0823,0.216462,8.15334,9.074074
st04_Example2_normal,cube,148,2.915167,9450365.059,0.129277,1.137677,8.888889
st04_Example3_normal,cube,148,3.321933,10769015.82,0.144734,3.257267,1.111111
st04_Example4_normal,cube,148,4.120195,13356815.19,0.146472,2.386102,0
st04_Example5_normal,cube,148,5.352647,17352168.22,0.136242,2.555172,2.962963
st05_e2,cube,157,1.69865,6573593.744,0.256905,4.743449,17.777778
ave,,,5.2430564,7542616.988,0.199906533,4.278395267,6.374432133
,,,,,,,
Merged1_normal,cylinder,121,2.088741,2906234.031,0.200148,4.164099,4.444444
Merged2_normal,cylinder,121,3.106741,4322659.64,0.226592,7.234626,14.222222
Merged3_normal,cylinder,121,4.877488,6786442.94,0.211401,2.67521,1.907407
Merged4_normal,cylinder,121,5.887734,8192079.783,0.223377,3.384492,2.968254
Merged5_normal,cylinder,121,7.946545,11056669.79,0.20901,1.902884,1.535354
St_05_Example3_normal,cylinder,174,2.711164,11217431.22,0.244392,6.615988,13.888889
chess,cylinder,62,3.676922,688254.9871,0.211967,10.894977,10.396825
engine,cylinder,86,7.804498,3898793.279,0.062169,0.740741,0.666667
liu,cylinder,142,4.880671,10975756.1,0.185996,7.89958,8
shapesnew,cylinder,19,8.237177,44374.05143,0.207268,9.978117,12.716049
st04_Example2_normal,cylinder,180,2.28795,10479822.48,0.11205,0,0
st04_Example3_normal,cylinder,180,2.310624,10583679.42,0.156043,4.838352,0
st04_Example4_normal,cylinder,180,3.813857,17469151.12,0.119477,0.983579,0
st04_Example5_normal,cylinder,180,4.639035,21248831.17,0.116521,0.252087,0.740741
st05_e2,cylinder,174,1.634718,6763639.798,0.254171,9.833573,17.777778
ave,,,4.393591,8442254.654,0.182705467,4.759887,5.950975333
