shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,5.239559,1.172794,0.160441,0.032728,0.562571,1.257947,0.0,0.0,5
cube,2000,0.3,4.821738,1.276092,0.178262,0.051489,5.182992,8.669915,3.333333,7.45356,5
cube,2000,0.4,4.821738,1.276092,0.178262,0.051489,5.182992,8.669915,3.333333,7.45356,5
cube,3000,0.2,3.80187,0.000791,0.19813,0.000791,3.329949,1.615099,0.0,0.0,5
cube,3000,0.3,3.1475,0.569432,0.2525,0.02192,13.848938,9.057781,20.0,18.257419,5
cube,3000,0.4,3.1475,0.569432,0.2525,0.02192,13.848938,9.057781,20.0,18.257419,5
cube,4000,0.2,3.802084,0.000986,0.197916,0.000986,2.077512,1.196216,0.0,0.0,5
cube,4000,0.3,2.728909,0.002927,0.271091,0.002927,18.823599,6.855475,26.666667,14.90712,5
cube,4000,0.4,2.728909,0.002927,0.271091,0.002927,18.823599,6.855475,26.666667,14.90712,5
cylinder,2000,0.2,4.628771,1.341849,0.171229,0.038171,9.589777,9.598385,7.857143,11.406228,5
cylinder,2000,0.3,4.206983,1.730549,0.193017,0.0577,14.275743,10.352475,16.190476,16.700646,5
cylinder,2000,0.4,4.206983,1.730549,0.193017,0.0577,14.275743,10.352475,16.190476,16.700646,5
cylinder,3000,0.2,4.009148,0.462652,0.190852,0.015479,2.454987,2.512258,0.0,0.0,5
cylinder,3000,0.3,3.165135,0.934473,0.234865,0.040165,13.776905,13.403917,13.333333,18.257419,5
cylinder,3000,0.4,3.165135,0.934473,0.234865,0.040165,13.776905,13.403917,13.333333,18.257419,5
cylinder,4000,0.2,3.802917,0.002454,0.197083,0.002454,1.818973,1.734886,0.0,0.0,5
cylinder,4000,0.3,2.953612,0.463336,0.246388,0.017662,14.042881,6.196038,13.333333,18.257419,5
cylinder,4000,0.4,2.953612,0.463336,0.246388,0.017662,14.042881,6.196038,13.333333,18.257419,5
