shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,13.560175,3.924922,0.039825,0.013546,0.01409,0.019294,0.0,0.0,5
cube,2000,0.3,13.560178,3.924916,0.039822,0.01354,0.000671,0.001501,0.0,0.0,5
cube,2000,0.4,13.560178,3.924916,0.039822,0.01354,0.000671,0.001501,0.0,0.0,5
cube,3000,0.2,8.334143,1.967241,0.065857,0.018255,0.068771,0.097529,0.0,0.0,5
cube,3000,0.3,8.334143,1.96724,0.065857,0.018254,0.027208,0.060838,0.0,0.0,5
cube,3000,0.4,8.334143,1.96724,0.065857,0.018254,0.027208,0.060838,0.0,0.0,5
cube,4000,0.2,6.31043,1.364828,0.08957,0.023341,0.06583,0.147201,0.0,0.0,5
cube,4000,0.3,6.310419,1.364813,0.089581,0.023327,0.078474,0.134956,0.0,0.0,5
cube,4000,0.4,6.310419,1.364813,0.089581,0.023327,0.078474,0.134956,0.0,0.0,5
cylinder,2000,0.2,10.963122,2.006733,0.036878,0.006795,2.222222,4.96904,2.0,4.472136,5
cylinder,2000,0.3,10.963122,2.006733,0.036878,0.006795,2.222222,4.96904,2.0,4.472136,5
cylinder,2000,0.4,10.963122,2.006733,0.036878,0.006795,2.222222,4.96904,2.0,4.472136,5
cylinder,3000,0.2,7.341315,1.686808,0.058685,0.013685,0.0,0.0,0.0,0.0,5
cylinder,3000,0.3,7.341315,1.686808,0.058685,0.013685,0.0,0.0,0.0,0.0,5
cylinder,3000,0.4,7.341315,1.686808,0.058685,0.013685,0.0,0.0,0.0,0.0,5
cylinder,4000,0.2,5.109056,1.330136,0.090944,0.026796,0.0,0.0,0.0,0.0,5
cylinder,4000,0.3,5.109056,1.330136,0.090944,0.026796,0.0,0.0,0.0,0.0,5
cylinder,4000,0.4,5.109056,1.330136,0.090944,0.026796,0.0,0.0,0.0,0.0,5
