shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,9.80901,0.002273,0.19099,0.002273,5.248326,3.440273,6.0,5.477226,5
cube,2000,0.3,8.781534,0.721445,0.218466,0.014616,11.117111,8.714634,8.944444,9.354968,5
cube,2000,0.4,8.576576,0.455863,0.223424,0.009326,11.403619,8.879879,9.166667,9.399402,5
cube,3000,0.2,9.808669,0.002385,0.191331,0.002385,3.838829,3.860916,4.0,5.477226,5
cube,3000,0.3,8.779623,0.003536,0.220377,0.003536,10.837413,5.439763,6.666667,6.085806,5
cube,3000,0.4,8.779623,0.003536,0.220377,0.003536,10.837413,5.439763,6.666667,6.085806,5
cube,4000,0.2,9.808669,0.002385,0.191331,0.002385,3.838829,3.860916,4.0,5.477226,5
cube,4000,0.3,8.779623,0.003536,0.220377,0.003536,10.837413,5.439763,6.666667,6.085806,5
cube,4000,0.4,8.780954,0.0035,0.219046,0.0035,10.145508,4.814233,6.666667,6.085806,5
cylinder,2000,0.2,5.017927,0.455552,0.182073,0.008608,8.688716,8.88167,8.0,10.954451,5
cylinder,2000,0.3,5.017739,0.45568,0.182261,0.009804,8.677881,7.177198,8.0,10.954451,5
cylinder,2000,0.4,5.017739,0.45568,0.182261,0.009804,8.677881,7.177198,8.0,10.954451,5
cylinder,3000,0.2,4.816026,0.008086,0.183974,0.008086,7.245057,5.522927,12.0,10.954451,5
cylinder,3000,0.3,4.812419,0.005567,0.187581,0.005567,9.437458,6.54571,12.0,10.954451,5
cylinder,3000,0.4,4.812419,0.005567,0.187581,0.005567,9.437458,6.54571,12.0,10.954451,5
cylinder,4000,0.2,4.811999,0.004811,0.188001,0.004811,5.508178,5.872201,4.0,8.944272,5
cylinder,4000,0.3,4.809885,0.001108,0.190115,0.001108,6.711797,5.638787,4.0,8.944272,5
cylinder,4000,0.4,4.809885,0.001108,0.190115,0.001108,6.711797,5.638787,4.0,8.944272,5
