shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,12.216134,0.55124,0.183866,0.003517,4.044048,1.661552,5.0,4.564355,5
cube,2000,0.3,9.767687,0.001052,0.232313,0.001052,11.780264,5.819034,12.0,4.472136,5
cube,2000,0.4,9.767687,0.001052,0.232313,0.001052,11.780264,5.819034,12.0,4.472136,5
cube,3000,0.2,11.813583,0.000471,0.186417,0.000471,5.499167,1.361586,8.333333,0.0,5
cube,3000,0.3,9.768164,0.003409,0.231836,0.003409,8.381577,3.445924,8.0,4.472136,5
cube,3000,0.4,9.768164,0.003409,0.231836,0.003409,8.381577,3.445924,8.0,4.472136,5
cube,4000,0.2,11.813441,0.000278,0.186559,0.000278,5.002763,1.550236,8.333333,0.0,5
cube,4000,0.3,9.76849,0.003231,0.23151,0.003231,9.255202,2.448401,10.0,0.0,5
cube,4000,0.4,9.76849,0.003231,0.23151,0.003231,9.255202,2.448401,10.0,0.0,5
cylinder,2000,0.2,9.010863,0.451619,0.189137,0.004522,6.063976,4.155421,8.888889,4.96904,5
cylinder,2000,0.3,8.190147,0.910415,0.209853,0.016111,9.209513,6.155949,10.0,5.59017,5
cylinder,2000,0.4,8.190147,0.910415,0.209853,0.016111,9.209513,6.155949,10.0,5.59017,5
cylinder,3000,0.2,8.807965,0.00182,0.192035,0.00182,5.197075,4.342059,6.666667,6.085806,5
cylinder,3000,0.3,7.782314,0.002328,0.217686,0.002328,12.349532,7.993616,17.5,6.846532,5
cylinder,3000,0.4,7.782314,0.002328,0.217686,0.002328,12.349532,7.993616,17.5,6.846532,5
cylinder,4000,0.2,8.807613,0.001742,0.192387,0.001742,6.657015,3.900274,8.888889,4.96904,5
cylinder,4000,0.3,7.781614,0.002543,0.218386,0.002543,14.383448,6.311685,17.5,6.846532,5
cylinder,4000,0.4,7.781614,0.002543,0.218386,0.002543,14.383448,6.311685,17.5,6.846532,5
