shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,4.711502,1.118212,0.088498,0.02278,0.620908,1.388394,0.0,0.0,5
cube,2000,0.3,4.711051,1.118624,0.088949,0.023194,0.906887,2.027861,0.0,0.0,5
cube,2000,0.4,4.711051,1.118624,0.088949,0.023194,0.906887,2.027861,0.0,0.0,5
cube,3000,0.2,3.055814,0.876955,0.144186,0.040461,0.0,0.0,0.0,0.0,5
cube,3000,0.3,3.048039,0.890913,0.151961,0.054677,2.095227,4.685071,0.0,0.0,5
cube,3000,0.4,3.048039,0.890913,0.151961,0.054677,2.095227,4.685071,0.0,0.0,5
cube,4000,0.2,2.218124,0.571633,0.181876,0.02398,6.283455,10.627467,10.0,22.36068,5
cube,4000,0.3,2.196887,0.591025,0.203113,0.043405,8.203406,9.310001,0.0,0.0,5
cube,4000,0.4,2.196887,0.591025,0.203113,0.043405,8.203406,9.310001,0.0,0.0,5
cylinder,2000,0.2,3.09682,0.463145,0.10318,0.015965,0.0,0.0,0.0,0.0,5
cylinder,2000,0.3,3.09682,0.463145,0.10318,0.015965,0.0,0.0,0.0,0.0,5
cylinder,2000,0.4,3.09682,0.463145,0.10318,0.015965,0.0,0.0,0.0,0.0,5
cylinder,3000,0.2,2.026731,0.481461,0.173269,0.034394,4.478302,5.181975,0.0,0.0,5
cylinder,3000,0.3,2.026731,0.481461,0.173269,0.034394,4.478302,5.181975,0.0,0.0,5
cylinder,3000,0.4,2.026731,0.481461,0.173269,0.034394,4.478302,5.181975,0.0,0.0,5
cylinder,4000,0.2,1.808616,0.005438,0.191384,0.005438,9.865117,8.562812,0.0,0.0,5
cylinder,4000,0.3,1.808171,0.006222,0.191829,0.006222,10.122572,8.765855,0.0,0.0,5
cylinder,4000,0.4,1.808171,0.006222,0.191829,0.006222,10.122572,8.765855,0.0,0.0,5
