shape,radio,rho,N-U*_mean,N-U*_std,U*_mean,U*_std,U*_imp_by_GRASP(%)_mean,U*_imp_by_GRASP(%)_std,U_imp_by_GRASP(%)_mean,U_imp_by_GRASP(%)_std,n_seeds
cube,2000,0.2,2.223293,0.936885,0.176707,0.042706,1.785148,2.553853,0.0,0.0,5
cube,2000,0.3,2.146313,0.978973,0.253687,0.084628,3.028425,3.235874,0.0,0.0,5
cube,2000,0.4,1.924232,1.189435,0.275768,0.097787,6.097905,8.463824,20.0,44.72136,5
cube,3000,0.2,1.8041,0.004594,0.1959,0.004594,4.204928,4.999968,0.0,0.0,5
cube,3000,0.3,1.71775,0.017987,0.28225,0.017987,2.706698,3.205065,0.0,0.0,5
cube,3000,0.4,1.082867,0.578862,0.317133,0.038308,8.36352,7.891939,60.0,54.772256,5
cube,4000,0.2,1.806012,0.005398,0.193988,0.005398,3.122905,3.08219,0.0,0.0,5
cube,4000,0.3,1.710668,0.00807,0.289332,0.00807,3.244773,2.95574,0.0,0.0,5
cube,4000,0.4,0.872618,0.474405,0.327382,0.027192,10.136739,6.397527,80.0,44.72136,5
cylinder,2000,0.2,2.015217,0.47148,0.184783,0.024428,1.563915,2.198634,0.0,0.0,5
cylinder,2000,0.3,1.943232,0.509284,0.256768,0.062572,11.044467,4.840554,0.0,0.0,5
cylinder,2000,0.4,1.531858,0.903127,0.268142,0.071121,15.488138,8.931921,40.0,54.772256,5
cylinder,3000,0.2,1.803879,0.003056,0.196121,0.003056,1.258874,2.272185,0.0,0.0,5
cylinder,3000,0.3,1.711884,0.007322,0.288116,0.007322,12.091003,2.341099,0.0,0.0,5
cylinder,3000,0.4,1.30051,0.564266,0.29949,0.01747,16.534673,7.085397,40.0,54.772256,5
cylinder,4000,0.2,1.803879,0.003056,0.196121,0.003056,1.258874,2.272185,0.0,0.0,5
cylinder,4000,0.3,1.712623,0.006358,0.287377,0.006358,10.227942,6.0118,0.0,0.0,5
cylinder,4000,0.4,0.889379,0.462778,0.310621,0.015565,19.034272,6.501316,80.0,44.72136,5
