Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
St_05_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,3138.039964,2,0.309061775,0.383204652,2,0.309061775,0.331893931,TRUE,3869893,St_05_Example3_normal_SCH_cube_F1.1_S13_minimum_bb_volume_ maximum connected space _bottom.png
St_05_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,2449.801537,2,0.309061775,0.444958556,2,0.309061775,0.444958556,TRUE,3869893,St_05_Example3_normal_SCH_cube_F1.1_S19_minimum_bb_volume_maximum connected space_bottom.png
St_05_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,3097.73258,2,0.309061775,0.414654359,2,0.309061775,0.380654452,TRUE,3869893,St_05_Example3_normal_SCH_cube_F1.1_S3_minimum_bb_volume_ maximum connected space _bottom.png
St_05_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,1577.475108,2,0.309061775,0.438680863,2,0.309061775,0.419593255,TRUE,3869893,St_05_Example3_normal_SCH_cube_F1.1_S53_minimum_bb_volume_maximum connected space_bottom.png
St_05_Example3_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,2620.066558,2,0.309061775,0.412437243,2,0.309061775,0.373282155,TRUE,3869893,St_05_Example3_normal_SCH_cube_F1.1_S7_minimum_bb_volume_maximum connected space_bottom.png
St_05_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,5330.719758,2,0.289072398,0.329452132,2,0.289072398,0.301615491,TRUE,4137496.374,St_05_Example3_normal_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
St_05_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,4693.399474,2,0.289072398,0.423496444,2,0.289072398,0.324070375,TRUE,4137496.374,St_05_Example3_normal_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
St_05_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,5191.511701,2,0.289072398,0.381898582,2,0.289072398,0.361049017,TRUE,4137496.374,St_05_Example3_normal_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
St_05_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,3731.338356,2,0.289072398,0.356794029,2,0.289072398,0.337730568,TRUE,4137496.374,St_05_Example3_normal_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
St_05_Example3_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,4744.3744,2,0.289072398,0.379723596,2,0.289072398,0.379723596,TRUE,4137496.374,St_05_Example3_normal_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
