Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
chess,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,277.3867847,3,0.236246508,0.328201872,3,0.236246508,0.319797171,TRUE,175616,chess_SCH_cube_F1.1_S13_minimum_bb_volume_ maximum connected space _bottom.png
chess,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,304.9244267,3,0.236246508,0.322533254,3,0.236246508,0.307736767,TRUE,175616,chess_SCH_cube_F1.1_S19_minimum_bb_volume_ maximum connected space _bottom.png
chess,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,295.889895,3,0.236246508,0.319797171,3,0.236246508,0.313405384,TRUE,175616,chess_SCH_cube_F1.1_S3_minimum_bb_volume_ maximum connected space _bottom.png
chess,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,375.5546843,3,0.236246508,0.331812022,3,0.236246508,0.287792684,TRUE,175616,chess_SCH_cube_F1.1_S53_minimum_bb_volume_ maximum connected space _bottom.png
chess,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,353.3459559,3,0.236246508,0.318427706,3,0.236246508,0.299975515,TRUE,175616,chess_SCH_cube_F1.1_S7_minimum_bb_volume_ maximum connected space _bottom.png
chess,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,530.8609863,3,0.221648363,0.307921622,3,0.221648363,0.284869237,TRUE,187182.3735,chess_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
chess,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,552.1899025,3,0.221648363,0.302603279,3,0.221648363,0.288721096,TRUE,187182.3735,chess_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
chess,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,576.2635048,3,0.221648363,0.300036264,3,0.221648363,0.281057447,TRUE,187182.3735,chess_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
chess,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,738.6271501,3,0.221648363,0.30599035,3,0.221648363,0.274117691,TRUE,187182.3735,chess_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
chess,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,688.9114359,3,0.221648363,0.287436253,3,0.221648363,0.287436253,TRUE,187182.3735,chess_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
