Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
engine,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,1895.281873,2,0.230051643,0.320307339,3,0.153367762,0.199326765,TRUE,389017,engine_SCH_cube_F1.1_S13_minimum_bb_volume_ maximum connected space _bottom.png
engine,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,1884.894477,2,0.230051643,0.324186347,2,0.230051643,0.304441708,TRUE,389017,engine_SCH_cube_F1.1_S19_minimum_bb_volume_ maximum connected space _bottom.png
engine,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,1884.157174,2,0.230051643,0.305963493,2,0.230051643,0.300413607,TRUE,389017,engine_SCH_cube_F1.1_S3_minimum_bb_volume_ maximum connected space _bottom.png
engine,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,1900.886218,2,0.230051643,0.346187956,2,0.230051643,0.33056396,TRUE,389017,engine_SCH_cube_F1.1_S53_minimum_bb_volume_ maximum connected space _bottom.png
engine,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,1898.277437,2,0.230051643,0.335111319,2,0.230051643,0.335111319,TRUE,389017,engine_SCH_cube_F1.1_S7_minimum_bb_volume_ maximum connected space _bottom.png
engine,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,2369.738872,2,0.179146647,0.284073567,2,0.179146647,0.233548824,TRUE,499557.2142,engine_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
engine,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,2114.784364,2,0.179146647,0.271940823,2,0.179146647,0.252791865,TRUE,499557.2142,engine_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
engine,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,2147.979206,2,0.179146647,0.286113374,2,0.179146647,0.259916174,TRUE,499557.2142,engine_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
engine,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,2188.398902,2,0.179146647,0.301723197,2,0.179146647,0.28878574,TRUE,499557.2142,engine_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
engine,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,2142.832267,2,0.179146647,0.263273147,2,0.179146647,0.263273147,TRUE,499557.2142,engine_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
