Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
liu,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,1932.427992,8,0.230810705,0.24621709,8,0.230810705,0.240636752,TRUE,1030301,liu_SCH_cube_F1.1_S13_minimum_bb_volume_ maximum connected space _bottom.png
liu,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,1970.794772,8,0.230810705,0.246055002,8,0.230810705,0.240636752,TRUE,1030301,liu_SCH_cube_F1.1_S19_minimum_bb_volume_ maximum connected space _bottom.png
liu,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,1940.819762,7,0.263783663,0.274946998,8,0.230810705,0.245040458,TRUE,1030301,liu_SCH_cube_F1.1_S3_minimum_bb_volume_ maximum connected space _bottom.png
liu,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,1948.50644,8,0.230810705,0.25660185,8,0.230810705,0.249420038,TRUE,1030301,liu_SCH_cube_F1.1_S53_minimum_bb_volume_ maximum connected space _bottom.png
liu,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,1977.213412,8,0.230810705,0.25441206,8,0.230810705,0.25441206,TRUE,1030301,liu_SCH_cube_F1.1_S7_minimum_bb_volume_ maximum connected space _bottom.png
liu,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,2513.33816,4,0.211492587,0.236581288,4,0.211492587,0.228903784,TRUE,2248821.136,liu_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
liu,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,2366.445206,4,0.211492587,0.235323443,4,0.211492587,0.235323443,TRUE,2248821.136,liu_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
liu,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,2255.68366,4,0.211492587,0.237035451,4,0.211492587,0.237035451,TRUE,2248821.136,liu_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
liu,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,2376.964952,4,0.211492587,0.231872154,5,0.16919407,0.205734459,TRUE,2248821.136,liu_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
liu,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,2355.903038,4,0.211492587,0.24659824,4,0.211492587,0.24659824,TRUE,2248821.136,liu_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
