Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
st04_Example4_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,4581.763333899999,2,0.2147719532900321,0.2816679786982015,2,0.2147719532900321,0.2603340991649063,True,3241792.0,st04_Example4_normal_SCH_cube_F1.1_S13_minimum_bb_volume_maximum connected space_bottom.png
st04_Example4_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,2518.8227761000016,2,0.2147719532900321,0.2840203813199613,2,0.2147719532900321,0.2563393950012832,True,3241792.0,st04_Example4_normal_SCH_cube_F1.1_S19_minimum_bb_volume_maximum connected space_bottom.png
st04_Example4_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,5191.625043099997,2,0.2147719532900321,0.2502011233293191,2,0.2147719532900321,0.2461619992892819,True,3241792.0,st04_Example4_normal_SCH_cube_F1.1_S3_minimum_bb_volume_maximum connected space_bottom.png
st04_Example4_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,2431.473957000002,2,0.2147719532900321,0.2831449395889681,2,0.2147719532900321,0.2774536429234201,True,3241792.0,st04_Example4_normal_SCH_cube_F1.1_S53_minimum_bb_volume_maximum connected space_bottom.png
st04_Example4_normal,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,3029.5209506999963,2,0.2147719532900321,0.2855494738712416,2,0.2147719532900321,0.2557233776874025,True,3241792.0,st04_Example4_normal_SCH_cube_F1.1_S7_minimum_bb_volume_maximum connected space_bottom.png
st04_Example4_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,6130.127831699996,2,0.1520041049491903,0.2458782314311775,2,0.1520041049491903,0.2458782314311775,True,4580442.088933918,st04_Example4_normal_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example4_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,5762.211329400001,2,0.1520041049491903,0.2470475508758965,2,0.1520041049491903,0.2428309273218816,True,4580442.088933918,st04_Example4_normal_SCH_cylinder_F1.1_S19_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example4_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,5161.936829699996,2,0.1520041049491903,0.2417487173727643,2,0.1520041049491903,0.2370413114976649,True,4580442.088933918,st04_Example4_normal_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example4_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,5345.9196715,2,0.1520041049491903,0.2672530241038183,2,0.1520041049491903,0.2672530241038183,True,4580442.088933918,st04_Example4_normal_SCH_cylinder_F1.1_S53_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st04_Example4_normal,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,6979.853889400001,2,0.1520041049491903,0.2380768010656826,2,0.1520041049491903,0.2380768010656826,True,4580442.088933918,st04_Example4_normal_SCH_cylinder_F1.1_S7_waste_overlap_distance_minimum volume of AABB_bottom_top.png
