Dataset,Algorithm,ContainerShape,BinSizeFactor,Evaluation,NestingStrategy,Selection_range,Seed,Time,Best_BinsUsed,Best_U,Best_U_star,Ori_BinsUsed,Ori_U,Ori_U_star,NoOverlap,ContainerVolume,ImageName
st05_e2,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,13,3894.4358144,1,0.3395422043968658,0.3395422043968658,2,0.1697711021984329,0.3023318732585113,True,3869893.0,st05_e2_SCH_cube_F1.1_S13_minimum_bb_volume_maximum connected space_bottom.png
st05_e2,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,19,3955.017970699992,1,0.3395422043968658,0.3395422043968658,1,0.3395422043968658,0.3395422043968658,True,3869893.0,st05_e2_SCH_cube_F1.1_S19_minimum_bb_volume_maximum connected space_bottom.png
st05_e2,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,3,3788.996990300002,1,0.3395422043968658,0.3395422043968658,1,0.3395422043968658,0.3395422043968658,True,3869893.0,st05_e2_SCH_cube_F1.1_S3_minimum_bb_volume_maximum connected space_bottom.png
st05_e2,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,53,3798.6667438999866,1,0.3395422043968658,0.3395422043968658,1,0.3395422043968658,0.3395422043968658,True,3869893.0,st05_e2_SCH_cube_F1.1_S53_minimum_bb_volume_maximum connected space_bottom.png
st05_e2,SCH,cube,1.1,minimum_bb_volume,maximum connected space,bottom,7,3846.204217000006,1,0.3395422043968658,0.3395422043968658,1,0.3395422043968658,0.3395422043968658,True,3869893.0,st05_e2_SCH_cube_F1.1_S7_minimum_bb_volume_maximum connected space_bottom.png
st05_e2,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,13,4136.899468,1,0.317581426,0.317581426,2,0.158790713,0.28277777,True,4137496.374,st05_e2_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st05_e2,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,19,4017.807507,1,0.317581426,0.317581426,1,0.317581426,0.317581426,True,4137496.374,st05_e2_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st05_e2,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,3,4017.8075073999935,1,0.3175814263309441,0.3175814263309441,1,0.3175814263309441,0.3175814263309441,True,4137496.374333679,st05_e2_SCH_cylinder_F1.1_S3_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st05_e2,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,53,4136.899468,1,0.317581426,0.317581426,2,0.158790713,0.28277777,True,4137496.374,st05_e2_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
st05_e2,SCH,cylinder,1.1,waste_overlap_distance,minimum volume of AABB,bottom_top,7,4136.899468,1,0.317581426,0.317581426,2,0.158790713,0.28277777,True,4137496.374,st05_e2_SCH_cylinder_F1.1_S13_waste_overlap_distance_minimum volume of AABB_bottom_top.png
